ProductLabel,Sphere,Cylinder,AntiReflectiveCoating,Id,Name,Deleted,Transitions,RemainingCount,LowInventoryWarning
0.25/-5.5/Poly/AR,0.25,-5.50,True,1,Plastic,False,False,0,0
-0.25/-5.5/Poly/TR,-0.25,-5.50,False,1,Plastic,False,True,0,0
0.25/-5.5/Poly/TR,0.25,-5.50,False,1,Plastic,False,True,0,0
-0.25/-5.75/CR39,-0.25,-5.75,False,2,Plastic2,True,False,0,0
0.25/-5.75/CR39,0.25,-5.75,False,2,Plastic2,True,False,0,0
-0.25/-5.75/CR39/AR,-0.25,-5.75,True,2,Plastic2,True,False,0,0
0.25/-5.75/CR39/AR,0.25,-5.75,True,2,Plastic2,True,False,0,0
-0.25/-5.75/CR39/TR,-0.25,-5.75,False,2,Plastic2,True,True,0,0
0.25/-5.75/CR39/TR,0.25,-5.75,False,2,Plastic2,True,True,0,0
-0.25/-5.75/Poly,-0.25,-5.75,False,1,Plastic,False,False,0,0
0.25/-5.75/Poly,0.25,-5.75,False,1,Plastic,False,False,0,0
-0.25/-5.75/Poly/AR,-0.25,-5.75,True,1,Plastic,False,False,0,0
0.25/-5.75/Poly/AR,0.25,-5.75,True,1,Plastic,False,False,0,0
-0.25/-5.75/Poly/TR,-0.25,-5.75,False,1,Plastic,False,True,0,0
0.25/-5.75/Poly/TR,0.25,-5.75,False,1,Plastic,False,True,0,0
-0.25/-5/CR39,-0.25,-5.00,False,2,Plastic2,True,False,0,0
0.25/-5/CR39,0.25,-5.00,False,2,Plastic2,True,False,0,0
-0.25/-5/CR39/AR,-0.25,-5.00,True,2,Plastic2,True,False,0,0
0.25/-5/CR39/AR,0.25,-5.00,True,2,Plastic2,True,False,0,0
-0.25/-5/CR39/TR,-0.25,-5.00,False,2,Plastic2,True,True,0,0
0.25/-5/CR39/TR,0.25,-5.00,False,2,Plastic2,True,True,0,0
-0.25/-5/Poly,-0.25,-5.00,False,1,Plastic,False,False,0,0
0.25/-5/Poly,0.25,-5.00,False,1,Plastic,False,False,0,0
-0.25/-5/Poly/AR,-0.25,-5.00,True,1,Plastic,False,False,0,0
0.25/-5/Poly/AR,0.25,-5.00,True,1,Plastic,False,False,0,0
-0.25/-5/Poly/TR,-0.25,-5.00,False,1,Plastic,False,True,0,0
0.25/-5/Poly/TR,0.25,-5.00,False,1,Plastic,False,True,0,0
-0.25/-6/CR39,-0.25,-6.00,False,2,Plastic2,True,False,0,0
0.25/-6/CR39,0.25,-6.00,False,2,Plastic2,True,False,0,0
-0.25/-6/CR39/AR,-0.25,-6.00,True,2,Plastic2,True,False,0,0
0.25/-6/CR39/AR,0.25,-6.00,True,2,Plastic2,True,False,0,0
-0.25/-6/CR39/TR,-0.25,-6.00,False,2,Plastic2,True,True,0,0
0.25/-6/CR39/TR,0.25,-6.00,False,2,Plastic2,True,True,0,0
-0.25/-6/Poly,-0.25,-6.00,False,1,Plastic,False,False,0,0
0.25/-6/Poly,0.25,-6.00,False,1,Plastic,False,False,0,0
-0.25/-6/Poly/AR,-0.25,-6.00,True,1,Plastic,False,False,0,0
0.25/-6/Poly/AR,0.25,-6.00,True,1,Plastic,False,False,0,0
-0.25/-6/Poly/TR,-0.25,-6.00,False,1,Plastic,False,True,0,0
0.25/-6/Poly/TR,0.25,-6.00,False,1,Plastic,False,True,0,0
-0.25_-0.25_CR-39TRASP,-0.25,-0.25,False,1,Plastic,False,True,1000,10
-0.25-0.25CR-39TRASP,-0.25,-0.25,False,1,Plastic,False,True,1002,10
-0.5/-0.25/CR39,-0.50,-0.25,False,2,Plastic2,True,False,0,0
0.5/-0.25/CR39,0.50,-0.25,False,2,Plastic2,True,False,0,0
-0.5/-0.25/CR39/AR,-0.50,-0.25,True,2,Plastic2,True,False,0,0
0.5/-0.25/CR39/AR,0.50,-0.25,True,2,Plastic2,True,False,0,0
-0.5/-0.25/CR39/TR,-0.50,-0.25,False,2,Plastic2,True,True,0,0
0.5/-0.25/CR39/TR,0.50,-0.25,False,2,Plastic2,True,True,0,0
-0.5/-0.25/Poly,-0.50,-0.25,False,1,Plastic,False,False,0,0
0.5/-0.25/Poly,0.50,-0.25,False,1,Plastic,False,False,0,0
-0.5/-0.25/Poly/AR,-0.50,-0.25,True,1,Plastic,False,False,0,0
0.5/-0.25/Poly/AR,0.50,-0.25,True,1,Plastic,False,False,0,0
-0.5/-0.25/Poly/TR,-0.50,-0.25,False,1,Plastic,False,True,0,0
0.5/-0.25/Poly/TR,0.50,-0.25,False,1,Plastic,False,True,0,0
-0.5/-0.5/CR39,-0.50,-0.50,False,2,Plastic2,True,False,0,0
0.5/-0.5/CR39,0.50,-0.50,False,2,Plastic2,True,False,0,0
-0.5/-0.5/CR39/AR,-0.50,-0.50,True,2,Plastic2,True,False,0,0
0.5/-0.5/CR39/AR,0.50,-0.50,True,2,Plastic2,True,False,0,0
-0.5/-0.5/CR39/TR,-0.50,-0.50,False,2,Plastic2,True,True,0,0
0.5/-0.5/CR39/TR,0.50,-0.50,False,2,Plastic2,True,True,0,0
-0.5/-0.5/Poly,-0.50,-0.50,False,1,Plastic,False,False,0,0
0.5/-0.5/Poly,0.50,-0.50,False,1,Plastic,False,False,0,0
-0.5/-0.5/Poly/AR,-0.50,-0.50,True,1,Plastic,False,False,0,0
